                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7387,                 3.4772,                 4.0845,                0.00122,                0.08517,                0.00087,                0.00017,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 3.6003,                 3.2667,                  3.868,                0.00378,                0.26498,                  0.003,                0.00081,                      0,                    inf,                      0,               0.040724,              0.0065138,              0.0065138
                      2,                 3.4536,                 3.1877,                 3.7126,                0.00432,                0.30284,                 0.0065,                0.00152,                      0,                    inf,                      0,               0.010593,               0.009716,               0.009716
                      3,                 3.3063,                 3.1355,                 3.5337,                0.00229,                 0.1388,                0.00171,                0.00044,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 3.1077,                 2.9882,                  3.321,                0.08324,                0.05363,                0.03458,                0.00985,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 2.8902,                 2.7532,                 3.1182,                0.23983,                0.14196,                0.10432,                0.03245,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 2.6459,                 2.5324,                 2.9481,                0.36626,                0.39117,                0.30769,                0.11224,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.4575,                 2.2448,                 2.7801,                 0.6435,                 0.3986,                0.48125,                0.19636,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 2.3018,                 2.0121,                 2.6254,                0.62701,                0.60252,                0.63178,                0.25907,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.1389,                 1.7929,                 2.4683,                0.29717,                0.06309,                 0.0468,                0.00966,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.9951,                 1.6482,                 2.3545,                 0.5441,                0.60252,                0.61711,                0.25003,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.9273,                 1.6056,                 2.2898,                0.79326,                0.77918,                0.84396,                0.40108,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.8758,                 1.4527,                 2.2239,                0.79903,                0.46688,                0.56051,                0.24666,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.8003,                 1.4087,                 2.1474,                0.90157,                0.78011,                0.87493,                0.40742,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.8231,                 1.3603,                 2.1272,                0.86694,                0.84271,                0.89564,                0.47995,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.7268,                 1.3007,                  2.057,                0.87921,                0.77603,                0.85872,                0.42137,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.6809,                 1.2272,                 2.0189,                0.88983,                0.76434,                0.87611,                0.46042,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.6374,                 1.2415,                  1.989,                0.79611,                0.53312,                  0.608,                0.31113,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.6757,                 1.1969,                 1.9866,                0.79621,                0.70978,                0.77862,                0.38932,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.6358,                 1.1488,                 1.9551,                0.89079,                0.79811,                0.87777,                0.43942,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.6245,                 1.1449,                 1.9443,                0.87821,                0.84168,                0.90536,                0.48952,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     21,                  1.608,                 1.1156,                  1.917,                0.89539,                0.62145,                0.77542,                0.40725,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.5951,                 1.1006,                  1.898,                 0.9245,                0.84988,                0.92364,                0.54749,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.5954,                 1.1008,                 1.8962,                0.91799,                0.84746,                0.91946,                0.49552,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.5733,                  1.079,                 1.8789,                0.92338,                0.87442,                0.92951,                0.52231,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.5468,                 1.0358,                 1.8485,                0.92109,                0.70347,                0.81048,                0.44278,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.5103,                 1.0119,                 1.8266,                0.89052,                0.73502,                0.84235,                0.47209,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.5288,                 1.0166,                 1.8302,                0.94145,                0.86231,                0.93016,                0.54718,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.5472,                 1.0347,                 1.8484,                0.93271,                0.87066,                0.93087,                0.53913,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.5291,                 1.0101,                 1.8409,                0.85136,                0.47634,                0.57093,                0.30871,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                  1.548,                 1.0286,                 1.8462,                0.89174,                0.89274,                0.93974,                0.55212,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.5056,                 1.0105,                 1.8091,                 0.9363,                0.87382,                0.94734,                0.55451,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.5022,                 1.0112,                  1.815,                0.94725,                0.90638,                0.95834,                0.58468,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                  1.458,                0.96509,                 1.7686,                0.75002,                0.52681,                0.63974,                0.37027,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.4987,                0.99844,                  1.805,                0.90012,                0.85287,                0.91968,                 0.5109,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.4777,                0.96905,                 1.8006,                0.86992,                0.89274,                0.93362,                0.48299,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.4466,                0.92554,                 1.7487,                0.92557,                0.86308,                0.92054,                0.54034,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.4526,                 0.9162,                 1.7682,                0.95038,                0.90852,                0.94533,                0.55376,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.4341,                0.91365,                 1.7594,                0.95257,                0.88959,                0.93733,                0.57078,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.4335,                0.90623,                 1.7538,                0.92739,                0.88634,                0.94083,                0.57431,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.4364,                0.91776,                 1.7736,                0.94345,                0.93375,                0.97147,                 0.5923,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.3934,                0.88351,                 1.7145,                0.95317,                0.89884,                 0.9541,                0.57116,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.4178,                 0.8888,                 1.7353,                0.89192,                0.75394,                0.86573,                0.47425,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.4081,                0.88504,                 1.7296,                0.89515,                0.79811,                0.86726,                0.49552,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.4159,                0.87981,                 1.7098,                0.93497,                0.90715,                0.95763,                0.58362,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3619,                0.84317,                 1.6731,                0.92901,                0.90817,                0.95712,                0.59077,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.4211,                0.89398,                 1.7032,                0.94235,                0.90536,                0.94706,                0.55036,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3583,                0.83567,                 1.6811,                  0.963,                0.88328,                 0.9609,                0.59232,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                  1.376,                0.84662,                 1.6768,                0.95918,                0.88946,                0.96209,                0.60404,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.3603,                0.84374,                 1.6797,                0.94109,                0.89905,                0.94243,                0.57272,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                   1.39,                0.84234,                 1.7006,                0.95499,                0.93702,                 0.9651,                0.59589,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.3438,                0.80396,                 1.6523,                0.95478,                0.94953,                0.96338,                 0.6082,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.3411,                0.81872,                 1.6671,                 0.9588,                0.93375,                 0.9733,                0.61439,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.3581,                0.82768,                 1.6728,                0.94166,                0.80126,                0.90929,                 0.5418,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.3214,                0.79809,                 1.6401,                 0.9549,                0.92744,                0.96926,                0.58023,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.3486,                 0.8218,                 1.6592,                0.78695,                  0.653,                 0.7357,                0.38589,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
