                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9447,                 3.6845,                 4.1775,                0.00302,                0.21136,                0.00183,                0.00049,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 3.9672,                 3.4836,                 4.1144,                0.00311,                0.21767,                0.00242,                0.00066,                      0,                    inf,                      0,               0.040724,              0.0065138,              0.0065138
                      2,                 3.9262,                 3.3883,                 4.0095,                0.00329,                0.23028,                0.00228,                0.00063,                      0,                    inf,                      0,               0.010593,               0.009716,               0.009716
                      3,                 3.7783,                 3.2795,                 3.8188,                0.00486,                0.34069,                0.00447,                0.00113,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 3.7078,                  3.228,                 3.5959,                0.00306,                0.21451,                0.00186,                0.00055,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 3.3336,                 3.0996,                 3.3899,                0.00261,                0.18297,                0.00155,                 0.0005,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 2.9981,                 2.7985,                 3.1315,                0.09192,                0.05363,                0.02826,                0.00661,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.7388,                 2.5014,                 2.9001,                0.41161,                0.39432,                0.36598,                0.12373,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 2.4851,                 2.1395,                 2.6135,                0.69592,                0.53424,                0.56099,                0.22148,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 2.3496,                 1.9726,                 2.4754,                0.69895,                0.52001,                0.54701,                 0.2196,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 2.2098,                 1.8103,                 2.3089,                0.73576,                0.67636,                0.73221,                 0.3439,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                 2.1411,                 1.7441,                 2.2663,                 0.7526,                0.65931,                0.75986,                0.34199,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                 2.0688,                 1.6581,                 2.1613,                0.79219,                0.72155,                0.76144,                0.37387,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 2.0189,                 1.5852,                 2.1152,                0.76928,                0.64353,                0.76356,                0.37343,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.9714,                 1.5081,                 2.0283,                0.80613,                0.76077,                0.84482,                0.40026,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
